"origin","destination","flow_mpd_raw","flow_mpd_adjusted_median","flow_mpd_adjusted_mean","flow_benchmark","observation_probability","flow_mpd_pred_median","flow_mpd_pred_mean"
"E06000011","E06000011",2403,82289.8919995664,82299.3428728775,57155,0.0447006472491909,3678.41143444664,3678.83389460071
"E06000011","E06000016",1,506.200656206309,506.701551104711,10,0.0447006472491909,22.6274969703872,22.6498872965496
"E06000011","E06000018",1,523.637886764131,524.08387491994,15,0.0447006472491909,23.4069524625552,23.4268884217853
"E06000011","E06000023",2,461.635869942801,462.104597501167,3,0.0447006472491909,20.6354221798866,20.656374605129
"E06000011","E06000047",6,508.605328662371,508.488724792873,11,0.0447006472491909,22.7349873855955,22.7297751171572
